,CompanyName,JobTitle,JobDescription,Overall_rating,Comp_Benefits,Culture_Values,Career_Opportunities,Work_Life_Balance,Senior_Management
Develop areas of continuous and automated deployment.
Introduce and follow good development practices, innovative frameworks and technology solutions that help business move faster.
Follow best practices like estimation, planning, reporting and improvement brought to processes in every day work.
Requirements
3-5+ years of experience in data science field
Master degree or above in engineering, computer science, statistics or related field is preferred
Expertise with popular LM algorithms, can derive algorithms and independent modelling.
Experience with text classification/extraction and Natural Language Processing.
Expertise with Python and its packages like pandas, scikit-learn, TensorFlow, numpy, NLTK is a plus.
Strong independent analysis and statistics ability.
Intermediate knowledge of statistical methods is desirable
Experience with back-end XML, relational, and file-based databases (e.g. SQL, Postgres, Redshift, Netezza, HDFS)
Familiarity with developing and deploying solutions using services in the Amazon AWS ecosystem (Lambda, EC2, RDS, EMR) is a plus.
Familiarity with common data cleaning and munging techniques
Familiarity with automation tools such as Puppet or Chef is a plus.
Familiarity with data visualization is a plus (e.g. Tableau, Shiny, d3)
Familiarity with statistical software, linear algebra, optimization, and information visualization is a plus.
Familiarity with mutual fund, fixed income, and equity data is a plus
Fluent in both oral and written English.
C99_MstarResShenz Morningstar (Shenzhen) Ltd. Legal Entity",4,3.4,4.3,3.7,4.3,3.6

3,China CITIC Bank International Limited,Data Scientist,"Key Responsibilities

Develop algorithms and statistical predictive models to identify business challenges and opportunities, and support developing business strategies
Set-up the data science capability to steer innovative project and campaign to support new business growth
Analyze structured and unstructured data, visualize findings, discover insights and propose new business models
Collaborate with business users and IT to ideate and introduce new data science innovations into business areas such as UX / UI, marketing and risk management
Identify data sources to support use case hypothesis and analyze the resulting data effectively using statistical methodologies
Mentor and manage junior colleagues and team members as required by various work-streams
Help lead initiatives & communicate with stakeholders in driving data science revolution

Requirements

Degree holder or equivalent, Master in Statistics / advanced degrees preferred
Minimum 12 years of working experience in banking / financial industry, preferably in data mining and business analytics, and including a minimum of 5 yearsâ€™ experience in data science and Big Data with proven track record of leveraging large amount of data to drive significant business impact
Solid Big Data development experience (e.g. Cloudera, Hive) and solid knowledge of Python and analytics libraries
Expert in statistical analysis tools and machine learning languages (e.g. Python, Spark) other big data tools (e.g. R, Hive, Hadoop)
Hands-on experience with public cloud data analytics frameworks
Proficiency in statistical tools, database software such as SAS, SAS EM, MS-Access, Machine learning
Excellent knowledge in retail banking business products/services and the market trend
Excellent interpersonal and communication skills
Good command of both spoken and written English and Chinese (including Putonghua)

For more details about career opportunities with the Bank, please visit our website http://www.cncbinternational.com/careers/en/index.jsp. Please apply with full resume stating current and expected salaries.

Personal data collected will be used for recruitment related purposes only. Applicants not invited for interview within 6 weeks may consider their applications unsuccessful. However, applicants may be considered for other suitable positions within the Group for a period of not more than 2 years. Personal data will be destroyed at any time after 3 months.

China CITIC Bank International is committed to being an equal opportunities employer and intends to provide a work environment free of unlawful discrimination or harassment. All employment decisions will be made in a non-discriminatory manner.",3.9,3.9,3.9,3.8,3.6,3.8

4,Radica Systems Limited,Data Scientist,"WHAT YOU'LL DO:
Construct data science workflow and modeling on top of huge historical campaign/response data
Devise technical data analytic or data science solutions to open business problem
Cleanse, process, verify and transform clientsâ€™ data into analytics-friendly format
Select, build and optimize different data prediction models according to the clientsâ€™ business objectives
Implement data science and data analytic models in common languages
Communicate analytics results in a clear and easy-to-understand manner yet with technical details
Construct, manage and monitor the healthiness of clientsâ€™ database
Prepare data visualization reports and analytical dashboards to draw out insights for the clients
Standardize analytics methodology and architect to improve working efficiency
Do ad-hoc analysis when necessary
Work with peer data scientists and other data analysts in the team
Maintain data privacy and governance in strict confidence for the company and for the customer

WHAT BASIC QUALIFICATIONS YOU NEED TO GET:
University graduate with Computer Science or Engineering is preferred but not a must, with 3-5 years of relevant experience.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, SVM, Decision Forests, etc.
Experience in common data science toolkits, such as R, Python, Hadoop, etc.
Excellence in at least one of these is highly desirable Strong oral, written, and interpersonal communication skills
Experience in data visualization tools such as Tableau
Proficiency in using query languages such as SQL, Hive, Pig
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Experience in Computer/ Data Graph Analysis is preferable
Experience in deep learning on unstructured data will be a bonus
Candidates with less experience will be considered as Data Analyst

~~~~ We love DATA, we believe DATA can make our life more beautiful! ~~~~~~~~~

Interested parties please send your resume with current and expected salary to hr@radicasys.com.

Data held by the company relating to employment applications will be kept confidential and used only for processing applications. Applications who are not contacted within 1 month may consider their applications unsuccessful.

All personal data of unsuccessful applicants will be retained for a maximum period of two years and may refer suitable applicants to other vacancies within the company.
Summary

Industry:
Information Technology

Job Category / Function:
Professional Services (Business Analysis / Data Analysis)

IT (Technical / Functional Consulting)

IT (Others)

Job Position Level:
Middle

Employment Term:
Full Time / Permanent

Min. Edu. Level Req:
Bachelor

Total Working Exp:
3-5

Salary(HKD):
Benefits:

Dental Insurance
Education Allowance
Five-Day Work
Flexible Working Hours
Free Shuttle Bus
Medical Insurance
Performance Bonus",3.4,3.2,3.5,3.1,3,3

5,Johnson Electric,Data Scientist,"Job Details

Job Title

Data Scientist

Job Ref. No.

R00001403

Employment Type

Full Time

Job Location

Hong Kong

Job City

Hong Kong

Apply Now

Job Description


Design, build and maintain machine learning solutions with big data technologies. Lead processes for data collection, cleaning and preprocessing to train models, deploying them to production. Needs to be familiar with current and emerging artificial intelligence technologies to create the requisite data pipelines and mechanisms for model management. The successful candidate must stay current to the state of the art by reading, understanding, and applying the ideas, techniques, algorithms, and results expressed in industry.

Roles & Responsibilities
Understand business objectives and develop predictive models using big data technologies that achieve them.
Participate in the architecture, design and implementation of large scale artificial intelligence solutions both in the cloud and on-premise.
Select machine learning algorithms that could be used to solve a problem and scale through an industrialized environment.
Prepare Data acquisition, quality assessment and feature engineering for both internal and external data sets.
Manage predictive models in production, inclusive of calibration and parameter tuning.
Academic & Personal Qualification
Deep understanding of common supervised and unsupervised machine learning algorithms, e.g., neural networks, randomForest, SVM, K-nearest neighbors, tree based algorithms, etc.
Familiarity with the common AI/ML frameworks such as Scikit-learn, Keras, TensorFlow, etc.
Expertise in big data technologies, particularly real time processing technologies such as Spark.
Familiarity with Linux and cloud solutions such as Azure, AWS and GCP
Development experience in modern statistical languages such as Java, Python and R.
Strong communication skills in English and Mandarin
Other Important Information
Learning never stops at Johnson Electric! You will be assigned to a designated business unit followed by intensive on-the job training and classroom training for your professional development with us!
5 daysâ€™ work week
Contact


Interested parties please send your resume with covering letter, stating current or last and expected salary to recruitment.hk@johnsonelectric.com quoting the position and reference number.

We regret only shortlisted candidates will be notified.

Personal data provided by job applicants will be used strictly for recruitment purpose only, a copy of which will be provided upon request. Unless otherwise instructed in writing by the applicant concerned, applicants may be considered for other suitable positions within the Company. Applicants who do not hear from us within 8 weeks may consider their application unsuccessful and their data will be destroyed within 24 months of receipt.

Corporate website: http://www.johnsonelectric.com/",3.2,3,2.8,3.1,2.9,2.6

6,Krunch,Data Scientist,"Job Highlights:
2~4 years of relevant work experience
Dynamic Tech Startup Environment working closely with US Silicon Valley tech firms
Python and SQL is a must

Job Responsibilities:
Research and Analyze complex data sets using advanced querying, visualization and analytics tools
Work on Data Cleansing and Normalizing, Data Management and Data Processing techniques like extracting, concatenating, modeling, sub-setting and duplicate records
Research and develop algorithms based on deep-dive statistical analysis and predictive data modeling
Collecting data, text standardization and performing text mining using different python libraries to create clusters and classify to compare the lab results

Requirement:
Doctoral degree in Computer Science, Quantitative Analysis, Statistics or related disciplines
Strong knowledge and experience with Python/R and SQL
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)
Communication skills including written and spoken English (must) and Chinese
Experience with distributed data/computing tools: Hadoop or Apache Spark
Experience visualizing/presenting data for stakeholders using: ggplot, d3.js , Matplottlib, or Tableau
Familiar with different database structures like Array, Trees is a plus
Experience with Unstructured data set would be an advantage
Good interpersonal skills to deliver high quality of work and meet tight deadlines

Benefits:
Attractive salary package
Flexible working hours
Can work remotely as long as deliverables are met on timely manner
Opportunity to travel and connect with tech firms in Silicon Valley

If you are interested in this opportunity, please contact Jordan Chung via info@krunchdata.io",,,,,,

7,FNA,Data Scientist,"Location: remote

Who is FNA?

FNA is a fast-growing, deep technology analytics company and leader in Supervisory Technology (SupTech) and Regulatory Technology (RegTech). The FNA Platform allows analysts and data scientists to map and monitor complex financial networks and to simulate operational and financial risks. FNAs clients include the worlds largest central banks, financial market infrastructures, leading financial institutions and government agencies

Make an impact on the global stage!

Apply your curiosity of machine learning and network science for the betterment of all and help us make the financial system safer and more efficient. Youll help the world's largest and most influential financial institutions by delivering solutions to some of their topmost predicaments. Join a selective team of brilliant data scientists who challenge the status quo daily and are quietly pushing forward the bleeding edge of analytics with our advanced graphing platform.

Were looking for Data Scientists who enjoy autonomy and working remotely with some travel to interface with clients for implementations, training and use case exploration. You consider Advanced Analytics, Machine Learning, Artificial Intelligence, Big Data, Business Intelligence, and Data Visualization your playground. You have hands-on experience delivering successful projects and solutions to customers In-Cloud and On-premise installations. This role will be an integral part of the Data Science team, working to accelerate the development of our software capabilities while implementing and delivering successful solutions for globally important institutions in Asia.

What are the benefits of joining FNA?
Contributing to FNAs mission of making our global financial system safer and more efficient
Opportunity to expand your career with additional duties and job titles as the company grows
Being part of a high-growth technology company developing and implementing the next generation of analytics solutions that is changing how businesses analyze their data
Being part of a team of collaborative, brilliant, passionate, hard-working & humble colleagues who embrace working from anywhere there is a solid internet connection
Entrepreneurial spirit at every level of the company
Fully supportive of your personal and professional growth with a Â£1k/yr annual stipend for continuing education
Twice per year company trips to very cool locations for all team off-sites
You will own projects from end to end, stamp your name to important work and document use cases in technical reports, white papers, etc.
Publish! Publish papers stemming from your projects at FNA
Key Areas of Responsibility:
Using the FNA platform and scripting language, identify hidden behavioural patterns and interconnections in large datasets, helping to create breakthrough solutions, performing exploratory and targeted data analyses as part of quantitative services engagements or proof of concepts. This will be achieved both remotely and on-site with clients
With time, the Data Scientist will be customer facing to develop and present customer specific use cases clearly and concisely, communicate analyses, recommendations, status and results to existing customers and prospects at business management and executive level
You will be heavily involved in the research and development of new use-cases, either as part of our product road-map or based on specific customer requirements
Partner with cross-functional teams to solve business problems at scale and identify trends/opportunities for the customers
Customer Excellence - Effectively help to resolve relevant customer support requests in a professional and timely manner
Required profile:
The right candidates will have experience and knowledge of Machine Learning concepts and will be allowed the freedom to explore new concepts to help develop future products
Youve executed in highly complex situations, delivered measurable business value, and exhibit strategic business acumen
2+ years commercial experience as a Data Scientist
2+ years experience with machine learning and predictive modeling within large datasets
2+ years experience with R/Python/MatLab/SQL or similar
Experience on projects applying network science/graph analytics
You have excellent analytical and problem-solving skills using a range of data analysis or statistical techniques
Passion and curiosity for what is happening within RegTech/FinTech/SupTech, Big Data, Graph Databases, Data Analysis and especially Graph Analytics
The right candidate will be naturally inquisitive, analytical and have good attention to detail. You should have the ability to communicate technical findings to non-technical personnel and not be afraid to present creative, data-driven ideas to stakeholders
You like to get things done with speed and efficiency
Business level written and spoken English is a minimum
Ability to travel approximately 25% of the time (Domestic and International)
Nice To Haves:
MS or PhD level qualification in mathematics, statistics, physics, engineering or related applied quantitative field
Bi-lingual business-level language capability
Powered by JazzHR",4.8,4.3,4.8,4.5,4.8,4.7

8,Cogs Agency,Data Scientist,"Our client is a major retail group with some of the most iconic luxury fashion brands in the world. They have established a lean yet specialized team of data experts to drive business insights, improve customer experience through data solutions. It is a dynamic, entrepreneurial environment where performance is recognized and creativity is appreciated.

They are looking to hire a Data Scientist to utilize various data modelling techniques to support cross functions initiatives in marketing, sales, CRM, and eCommerce.

Responsibilities:
Work with large sets of data through various channels, incorporate various data techniques (predictive modelling, customer segmentation, machine learning, NLP etc.) to provide insightful recommendations on customer journey and to drive business decisions.
Provide strategies on data collection and integration according to business requirements.
Drive and participate group wide data projects with internal stakeholders.
Research on the latest technologies and market trends on how it could be applied to retail industry.

Requirements:
Education background in disciplines such as mathematics, statistics, computer science, or relevant fields
Solid experience in working with large sets of data or enterprise level data projects.
Strong knowledge on advanced analytics, statistical modelling, machine learning
Good commercial acumen to apply data science into business solutions.
Tools & languages: Python, R, SQL, PowerBI, Google Analytics, etc.",4.3,4.3,4.6,4.2,4.8,4.3

9,NJF Global Holdings,Data Scientist,"Job title: Data Scientist
Job type: Permanent
Emp type: Full-time
Salary:
Negotiable
Location: Hong Kong, Asia
Job published: 2019-07-23
Job ID: 41846

Job Description


Our client is searching for an experienced Data Scientist to join them in their Hong Kong office.

Responsibilities:
Your core objective will be to manage the multiple and extensive dataset used in the research and trading platform.
Contribute to design and implement the data store and its API.
Monitor fetching processes and data health.
Integrate alternative datasets.
Support users (Quants & Traders).
Requirements:
Polyglot developer, knowledge of Python or C# is a plus.
Proficient use of common tooling: git, unix shell.
Continuous Integration/Deployment process experience.
Structured and unstructured data management expertise.
Cloud platforms (AWS, GCP, etc.) expertise.
Intellectual curiosity to identify emerging and alternative data.
Capacity to work with autonomy within a global team.
If you would like to be considered for the position of experienced Data Scientist or wish to discuss the role further then please leave your details below. Your resume will be held in confidence until you connect with a member of our team

Email: info@njf.com or call London (0207 604 4444,) New York (212 400 4845) or Chicago (312 204 72176) to speak to a member of our team. Thank you",4.2,4.3,4.4,4.1,3.6,4.3

10,Clover Health,Data Scientist,"Clover is reinventing healthcare by working to keep people healthier.

We value diversity â€” in backgrounds and in experiences. Healthcare is a universal concern, and we need people from all backgrounds and swaths of life to help build the future of healthcare. Clover's engineering team is empathetic, caring, and supportive. We are deliberate and self-reflective about the kind of engineering team and culture that we are building, seeking engineers that are not only strong in their own aptitudes but care deeply about supporting each other's growth.

We're looking for a Data Scientist to help us build a revolutionary new health care business internationally.

As a Data Scientist, you will:
Work with our international clients and partners to define goals and identify data assets needed to deliver valuable machine learning models.
Develop models and validation processes that help clients and partners confidently translate insights into action at scale.
Help determine priorities by estimating the potential impact of model and feature development projects.
Acquire and bring structure to data so that it can be easily integrated into our platform.
You will love this job if:
You want to create impact with your work by finding insights in data that unlock value and improve outcomes.
You have an innate customer focus and love seeing others get value out of your work.
You have a strong understanding of how to develop and evaluate machine learning models that yield actionable results.
You reason holistically, from project scope to priority to implementation, you want to have an impact on how decisions get made.
You are comfortable acting autonomously in ambiguous and dynamic environments.
You are fearless in the face of messy data, and adept at programmatically structuring and cleaning records collected from the real world.
You strive to automate as much as possible, yet understand the value of explicitly incorporating human opinions into the systems you build.
You have just as much interest in helping other people move faster as you do in doing your own work.
You should get in touch if:
You have a strong foundation and extensive experience in probability, statistics, and statistical modeling or machine learning.
You have a solid track record working cross-functionally and collaborating with engineering, product, and commercial teams.
You have experience working collaboratively with customers either in a forward deployment/sales engineering or consulting capacity.
You have experience with Python and SQL.
Candidates with less experience will be considered for the Data Scientist role.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records. We are an E-Verify company.

About Clover: We are reinventing health insurance by combining the power of data with human empathy to keep our members healthier. We believe the healthcare system is broken, so we've created custom software and analytics to empower our clinical staff to intervene and provide personalized care to the people who need it most.

We always put our members first, and our success as a team is measured by the quality of life of the people we serve. Those who work at Clover are passionate and mission-driven individuals with diverse areas of expertise, working together to solve the most complicated problem in the world: healthcare.

From Clover's inception, Diversity & Inclusion have always been key to our success. We are an Equal Opportunity Employer and our employees are people with different strengths, experiences and backgrounds, who share a passion for improving people's lives. Diversity not only includes race and gender identity, but also age, disability status, veteran status, sexual orientation, religion and many other parts of one's identity. All of our employee's points of view are key to our success, and inclusion is everyone's responsibility.",3.6,4.1,3.6,3.6,4.1,3.3

11,Octopus Holdings,Data Scientist,"Job Reference: (OCL/SAM/2019-051)Job Responsibilities:
Act as a lead data strategist to work with data stakeholders in identifying opportunities for leveraging corporate data, strategizing and driving data-driven solutions to meet business goals
Identify and collect large datasets from different data sources
Explore innovative ways for data integration to enforce good governance on data management and regulatory compliance
Devise & tune algorithms and machine learning models to mine big data stores; perform data and error analysis; clean and validate data for uniformity and accuracy
Execute analytical experiments methodically to identify business opportunities, perform market and competitive analysis and solve various problems
Utilize data visualizations to present findings and insights that can create business impact
Implement analytical models into production by collaborating with software developers and machine learning engineers

Requirements:
Postgraduate degree in Statistics, Computer Science, Data Science or related disciplines
Minimum of 10 years of solid experience in data analytics and/or related industries with at least 5 years in data science
Solid experience of key machine learning and deep learning framework, e.g. Tensor flow, Caffe, CNTK, etc.
Solid experience in key machine learning and big data cloud platform, e.g. Microsoft Azure ML Services & Data Warehouse, AWS SageMaker & Redshift, Google ML and BigQuery, etc.
Experience in common data science languages/toolkits, such as Python, SQL, R, Scala, Apache Spark, Keras, etc., to manipulate data and draw insights from large data sets is desirable
Experience in data architectures
Experience in data visualization BI tools, such as Tableau, PowerBI, Cognos, etc.
With passion, positive attitude and good business acumen
How to ApplyPlease send your resume, present and expected salary, contact details and quoting the reference number by e-mail to: recruit@octopus.com.hk",3.2,3.5,3,3.2,3.8,3.3

12,Klook Travel,Data Scientist,"At Klook, the World is #YoursToExplore - literally. The opportunities are yours for the taking, if youâ€™re brave enough to embark on this journey with us. Our team of diverse Klookers are passionate about travel, collaborating tirelessly across time zones to bring people together through the best experiences. Collectively, we are fearless in our pursuit of success - learning fast and adapting faster to build the future of travel. Up for the challenge? Join us today!

This role based in Hong Kong

What youâ€™ll do?
Leverage data and machine learning technologies to transform data and text into actionable insights
Become an integral part of the product growth team while working closely with data and marketing
Optimize joint development efforts through appropriate database use and project design
Communicate results and ideas to key decision makers
Keep up-to-date with latest technology trends
Sharing of software best-practices with colleagues and mentoring of junior members
What youâ€™ll need?
A love for data and a strong sense of ownership
5+ years of hands-on experience with developing statistical learning models for data analysis
Advanced NLP knowledge, especially for non-English Asian languages
Experience with big data tools: Hadoop, Spark, Kafka, etc.
PhD or Master's degree in Mathematics, Statistics, Computer Science or a related technical field
What youâ€™ll get?
Opportunity to materially change the ROI on millions of dollars of marketing spend
An environment that values honesty, transparency and respect with awesome co-workers across Asia
The rare opportunity to be part of building a global travel brand, ensuring its success and evolving it for the future
Klook does not accept unsolicited resumes from any temporary staffing agency, placement service or professional recruiter (â€œAgencyâ€ù). Klook will not be responsible for, and will not pay, any fees, commissions or other payments related to such unsolicited resumes.

An Agency must obtain advance written approval from Klookâ€™s Talent Acquisition Team to submit resumes, and then only in conjunction with a valid fully-executed agreement for service and in response to a specific job opening for which the Agency has been requested to submit resumes for. Klook will not be responsible for, and will not pay, any fees, commissions or other payments to any Agency that does not have such agreement in place or does not comply with the foregoing.",4.4,3.8,4.2,4.3,3.9,4.1

13,Hillman Ross,Data Scientist,"Contract Type: Permanent
Location: Hong Kong

Industry:
Information Technology

Salary: HK$40000 - HK$60000 per month + attractive package
Reference: 9967_1574752535
Contact Name: Rex Pao
Contact Email: Rex.Pao@hillmanross.com
Job Published: November 26, 2019 15:15
Job Description

Our client a listed property group is actively looking for Data Scientist to join their Data team.

We are now seeking for Data Scientist

RESPONSIBILITIES

Responsible for the analytics pipeline from data extraction, blending, cleansing and processing to model creation and result visualization
Gather, analyze data and build statistical models to conduct data analysis and create algorithms to predict probabilities
Develop predictive and prescriptive models through programming in R or Python.
Communicate quantitative insights into recommendations and present final results.
Lead researches in the application of AI for stakeholders
Identify and explore relevant data sources from internal and external sources, covering structured and unstructured data
Design data collection, integration and retention requirements and framework
Work with the IT system team to design and implement data-driven systems; and refine data collection process

QUALIFICATIONS

Degree holder in Quantitative Science/Data Management/Business Analysis or related disciplines
At least 6 years of experience in data science, modeling and some scripting
At least 3 years of experience in managerial role of data science, analytics or data management
Hands on experience with machine learning models using Python or R
Strong data project management, business process analysis and numerical skills
Data visualization skills, preferred experience in Power BI, Quik or Tableau
Good command in using data management tools, data systems or related software
Desire to work across various projects and enjoy strategically advising clients on emerging data techniques and initiatives.
Fluency in English and Chinese are required

APPLY FOR THIS JOB
Interested candidate please CLICK apply button to apply online or send your resume in MS word format to Hillman Ross Recruitment Solution Professional

Please note that only shortlisted candidate will be notified. All information will be treated in strict confidence and solely used for recruitment purposes.",2.6,2.7,2.7,2.7,2.8,2.9

14,Wheelock and Company Limited,Data Scientist,"RESPONSIBILITIES
Responsible for the analytics pipeline from data extraction, blending, cleansing and processing to model creation and result visualization
Gather, analyze data and build statistical models to conduct data analysis and create algorithms to predict probabilities
Develop predictive and prescriptive models through programming in R or Python.
Communicate quantitative insights into recommendations and present final results.
Lead researches in the application of AI for stakeholders
Identify and explore relevant data sources from internal and external sources, covering structured and unstructured data
Design data collection, integration and retention requirements and framework
Work with the IT system team to design and implement data-driven systems; and refine data collection process
REQUIREMENTS
Degree holder in related disciplines
Strong data project management, business process analysis and numerical skills
Minimum of 3 years in managerial role of data science, analytics or data management
Minimum of 6 years in data science, modeling and some scripting
Hands on experience with machine learning models using Python or R
Good command in using data management tools, data systems or related software
Data visualization skills, preferred experience in Power BI, Quik or Tableau
Fluency in English and Chinese are required
Desire to work across various projects and enjoy strategically advising clients on emerging data techniques and initiatives.",2,1.6,1.6,1.6,2,1.6

15,Libbler,Data Scientist,"Fintech
Technology
Hong Kong
Full time
About

Data Scientist for one of Hong Kongâ€™s fastest-growing FinTech companies innovating in personal finance solutions. Successful candidate will work with their high potential team focusing on deep technology problems leveraging big scale personal finance data.

Requirements
Strong math and quantitative analysis background: cleansing, modeling and analysis
1+ year relevant experience in Data science. Data Engineering and ETL/ pipeline workflows a plus
Python and cloud technology experience
Minimum experience: 1 year

Language(s):
KEY EXPERTISE
Data cleansing
Machine learning
Fintech
Data mining
Cloud computing
Python
JOB REF ID
VHwjRQy",,,,,,

16,Neo Derm Ltd.,Data Scientist,"Analyze structured and unstructured data, visualize findings, discover insights and propose new operation models
Develop machine learning algorithms and build predictive models to identify business opportunities and support business strategies
Select, build and optimize different data prediction models to enhance customer targeting & re-targeting, and optimize various marketing programs
Apply data mining techniques and statistic modelling to support product and treatment recommendation logics
Prepare data visualization reports and analytical dashboards
Collaborate with IT team to implement big data solutions into marketing & operations management platforms
Prepare outbound marketing campaign list and validate the data after list extraction
THE SUCCESSFUL CANDIDATE
Bachelorâ€™s degree or above in Data Science, Applied Statistics, Operations Research, Computer Science or related disciplines
Solid working experience in SQL (MSSQL, MySQL), NoSQL, R or Python
Excellent understanding of machine learning and deep learning techniques and algorithms, such as Recurrent Neural Network, k-NN, SVM
Experience in designing, executing and measuring A/B tests for optimization models
Solid experience in artificial intelligence or machine learning projects
Strong analytical mindset and problem solving skills
Positive attitude, hard-working and a willingness to embrace new ideas
Experience in Big Data technologies, such as Hadoop, Spark, Lucene/Elastic Search, Neo4j or MongoDB is desirable
Experience in using Tableau, Power BI or related analytics visualization tools would be an advantage
Close Print Apply for job
more",2.2,2.6,2.1,2.4,2.2,1.6

17,Kai OS Technologies (Hong Kong) Limited,Data Scientist,"KaiOS Technologies powers an ecosystem of affordable digital products and services, and exists to empower people around the world through technology. Its flagship product, KaiOS, is the leading mobile operating system for smart feature phones with more than 100 million devices shipped in over 100 countries. KaiOS is based on HTML5 and other open web technologies. Devices running on the platform require limited memory, while still offering a rich user experience through access to apps like the Google Assistant, YouTube, Facebook, Google Maps, and Twitter.

Kais mission is to open up new possibilities for individuals, organizations, and society by bringing mobile connectivity to the billions of people without internet in emerging markets, as well as providing those in established markets with an alternative to smartphones. To make this happen, Kai partners with leading ODM/OEMs and carriers, such as ATT, Sprint, T-Mobile, Orange, MTN, China Mobile, HMD, Doro, and Bullitt. Kai is also backed by major technology and telecom industry players, including Google, Reliance Jio and TCL. Together with these partners, Kai focuses on creating affordable devices and data plans that make internet access a reality for everyone, while simultaneously helping partners transform their business models.

Now were looking curious and analytical data scientists to help us tackle some of our most challenging and meaningful tasks.

